"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         110,       -4.98212824,      -4.696440622,      -4.661342347,       -8.24673211
          0,           0,         111,      -4.979369496,      -4.700872321,      -4.658229594,      -8.244587508
          0,           0,         112,      -4.975002995,      -4.705118556,      -4.656951483,      -8.242760265
          0,           0,         113,       -4.96960717,      -4.709028883,      -4.657623972,      -8.241290378
          0,           0,         114,      -4.962656432,       -4.71268685,      -4.660317155,      -8.240260219
          0,           0,         115,      -4.955544272,      -4.716468585,      -4.665121586,      -8.239607138
          0,           0,         116,       -4.94806434,      -4.720784209,      -4.672085074,      -8.239374792
          0,           0,         117,      -4.941886887,      -4.726048779,      -4.681149649,      -8.239537849
          0,           0,         118,      -4.936740143,      -4.732509771,      -4.691992167,      -8.240085134
          0,           0,         119,      -4.932774721,      -4.740037158,      -4.703803696,      -8.241016574
          0,           0,         120,      -4.929915441,      -4.747968445,      -4.715137388,      -8.242296981
          0,           0,         121,      -4.927903252,      -4.755046076,      -4.723851958,      -8.243864469
          0,           0,         122,      -4.926312373,      -4.759602877,      -4.727485466,      -8.245696178
          0,           0,         123,      -4.924720091,       -4.75978957,      -4.723911522,      -8.247724281
          0,           0,         124,      -4.922890211,      -4.754100519,      -4.712202789,      -8.249855233
          0,           0,         125,      -4.920891405,      -4.742340363,      -4.693351442,      -8.252019807
          0,           0,         126,         -4.917835,      -4.725714134,      -4.669871673,      -8.254115234
          0,           0,         127,      -4.914925167,       -4.70643355,       -4.64488101,      -8.256052693
          0,           0,         128,      -4.912202494,         -4.687012,      -4.621253867,      -8.257791684
          0,           0,         129,      -4.910224392,      -4.669737998,       -4.60126145,      -8.259302674
          0,           0,         130,      -4.909805914,      -4.656419762,      -4.586537583,      -8.260572709
          0,           0,         131,      -4.910618615,      -4.648383779,      -4.578214257,      -8.261618073
          0,           0,         132,      -4.913918081,      -4.646562917,      -4.577096414,      -8.262459556
          0,           0,         133,      -4.919535551,       -4.65158296,      -4.583777001,      -8.263138486
          0,           0,         134,      -4.927463645,      -4.663856176,      -4.598733091,      -8.263781408
          0,           0,         135,      -4.937493172,      -4.683572308,      -4.622342786,       -8.26448188
          0,           0,         136,      -4.949218942,      -4.710627948,      -4.654830347,      -8.265306788
          0,           0,         137,      -4.962096033,      -4.744497042,      -4.696038825,      -8.266329213
          0,           0,         138,      -4.975399416,      -4.783653344,      -4.744911652,      -8.267624933
          0,           0,         139,      -4.988420646,      -4.825027648,        -4.7983354,      -8.269235636
          0,           0,         140,      -5.000944967,        -4.8633536,      -4.849377513,       -8.27118987
          0,           0,         141,      -5.011277888,      -4.891464942,      -4.886401276,      -8.273506614
          0,           0,         142,      -5.020690265,      -4.903052745,      -4.897612841,      -8.276181068
          0,           0,         143,      -5.028791431,      -4.896724742,      -4.880929245,      -8.279206587
          0,           0,         144,       -5.03598055,       -4.87713504,      -4.846194984,      -8.282560979
          0,           0,         145,      -5.043358398,      -4.851520414,      -4.805918183,      -8.286223117
          0,           0,         146,      -5.049590862,      -4.826016949,      -4.768483764,      -8.290162158
          0,           0,         147,      -5.057826672,      -4.804557335,      -4.737990429,      -8.294345258
          0,           0,         148,      -5.065833223,       -4.78913587,      -4.715997981,      -8.298737353
          0,           0,         149,      -5.075681344,      -4.780637337,      -4.702940511,      -8.303300518
          0,           0,         150,      -5.086738899,      -4.779330385,      -4.698827963,      -8.308008401
          0,           0,         151,      -5.098939312,      -4.785152095,      -4.703564768,      -8.312874213
          0,           0,         152,      -5.112101857,      -4.797858507,      -4.717102416,      -8.317763456
          0,           0,         153,      -5.125983856,      -4.817048929,      -4.739504205,      -8.322693568
          0,           0,         154,       -5.14033216,      -4.842130474,      -4.770972656,      -8.327634653
          0,           0,         155,      -5.154943872,      -4.872237485,      -4.811850726,      -8.332547323
          0,           0,         156,      -5.169701295,      -4.906095263,      -4.862569237,      -8.337393541
          0,           0,         157,      -5.185528113,      -4.941834877,      -4.923454164,      -8.342142097
          0,           0,         158,      -5.199581588,      -4.976880374,      -4.994164998,      -8.346764703
          0,           0,         159,      -5.215335355,      -5.008146341,      -5.072283392,      -8.351238873
          0,           0,         160,       -5.23178059,      -5.032524294,      -5.150066645,      -8.355555923
          0,           0,         161,      -5.250539381,      -5.047982727,      -5.210693793,      -8.359716736
          0,           0,         162,      -5.267450815,      -5.054369136,      -5.233533898,      -8.363723811
          0,           0,         163,      -5.287371201,      -5.053511794,      -5.215251563,      -8.367600133
          0,           0,         164,      -5.308272911,      -5.048208736,       -5.17407868,      -8.371365154
          0,           0,         165,      -5.329873615,      -5.041367154,      -5.129171798,       -8.37500736
          0,           0,         166,      -5.351697405,      -5.035314494,      -5.090429193,      -8.378619485
          0,           0,         167,       -5.37313446,      -5.031663601,      -5.061335253,      -8.382253241
          0,           0,         168,      -5.393535691,      -5.031425895,      -5.042601472,      -8.385958088
          0,           0,         169,      -5.412348346,      -5.035152786,      -5.034010197,      -8.389773952
          0,           0,         170,      -5.429212721,      -5.043095541,      -5.035117342,      -8.393744675
          0,           0,         171,      -5.444079717,      -5.055306585,      -5.045493078,      -8.397913438
          0,           0,         172,      -5.457207966,       -5.07167778,      -5.064775344,      -8.402318325
          0,           0,         173,       -5.46911401,      -5.091958584,      -5.092622308,      -8.406991853
          0,           0,         174,      -5.483369464,      -5.115739056,      -5.128577879,      -8.411957417
          0,           0,         175,       -5.49156047,      -5.142368657,      -5.171789902,      -8.417231013
          0,           0,         176,      -5.504202997,      -5.171008426,      -5.220597863,       -8.42282128
          0,           0,         177,      -5.518150134,      -5.200411974,      -5.271691136,      -8.428728675
          0,           0,         178,      -5.533902562,      -5.229021233,      -5.319420627,      -8.434948804
          0,           0,         179,      -5.551781302,      -5.255051265,       -5.35607327,      -8.441461564
          0,           0,         180,      -5.571919893,      -5.276756424,      -5.374884675,       -8.44822477
          0,           0,         181,      -5.594241238,      -5.292900603,      -5.374637804,      -8.455247782
          0,           0,         182,      -5.618396024,      -5.303221464,      -5.360671018,      -8.462499407
          0,           0,         183,      -5.651471283,      -5.308430534,      -5.340855131,      -8.469954111
          0,           0,         184,      -5.667300032,      -5.309964918,      -5.321595036,      -8.477588078
          0,           0,         185,      -5.691891217,      -5.309830966,      -5.306990658,      -8.485374868
          0,           0,         186,      -5.723008972,      -5.309598141,      -5.298951498,      -8.493287311
          0,           0,         187,      -5.725042019,      -5.310691675,      -5.298318775,      -8.501304236
          0,           0,         188,      -5.733384572,      -5.314218849,      -5.305292711,      -8.509400309
          0,           0,         189,      -5.748525445,      -5.320762612,       -5.31954227,      -8.517556115
          0,           0,         190,      -5.723948362,      -5.330552075,      -5.340363824,      -8.525748892
          0,           0,         191,      -5.715237269,      -5.343742228,      -5.366777488,      -8.533963274
          0,           0,         192,      -5.702909367,      -5.359716288,      -5.396725979,       -8.54218115
          0,           0,         193,      -5.689566145,      -5.377829108,      -5.427329875,      -8.550384727
          0,           0,         194,      -5.676837491,      -5.396994644,      -5.454466558,      -8.558564586
          0,           0,         195,       -5.66562404,      -5.415739246,      -5.473402171,      -8.566709051
          0,           0,         196,      -5.656311606,      -5.432269185,      -5.480295964,      -8.574816245
          0,           0,         197,      -5.657386163,       -5.44468622,      -5.474062377,      -8.582886398
          0,           0,         198,      -5.641243967,      -5.451223061,       -5.45669605,      -8.590923292
          0,           0,         199,      -5.637518786,      -5.451400636,      -5.432406087,      -8.598932825
          0,           0,         200,      -5.633932718,      -5.445026197,      -5.404837078,      -8.606921372
          0,           0,         201,       -5.63029406,      -5.433214637,      -5.376897756,      -8.614907973
          0,           0,         202,      -5.626266864,      -5.417598527,      -5.350420017,       -8.62291186
          0,           0,         203,        -5.6215014,       -5.39992848,      -5.326451559,       -8.63094976
          0,           0,         204,      -5.615756033,      -5.381797443,      -5.305529228,      -8.639042892
          0,           0,         205,      -5.608969852,      -5.364507018,      -5.287905986,      -8.647209312
          0,           0,         206,      -5.601315955,      -5.349040812,      -5.273691099,      -8.655465747
          0,           0,         207,      -5.593189674,      -5.336098476,      -5.262946043,      -8.663827203
          0,           0,         208,      -5.585131546,      -5.326149282,       -5.25574522,      -8.672302955
          0,           0,         209,      -5.584350565,      -5.319501998,      -5.252217072,      -8.680904392
          0,           0,         210,      -5.569392756,      -5.316128927,      -5.252445895,      -8.689637506
          0,           0,         211,      -5.565960508,      -5.316695614,      -5.256894111,      -8.698507796
          0,           0,         212,      -5.563677998,      -5.320854505,      -5.265687571,      -8.707515137
          0,           0,         213,      -5.563086122,      -5.328622455,      -5.279162101,      -8.716657807
          0,           0,         214,      -5.564389471,       -5.33985544,      -5.297589401,      -8.725943076
          0,           0,         215,       -5.56751089,      -5.354221088,      -5.321142893,      -8.735361981
          0,           0,         216,      -5.572255769,      -5.371184897,      -5.349735576,      -8.744915534
          0,           0,         217,       -5.57832395,      -5.389854375,      -5.382817588,       -8.75459918
          0,           0,         218,      -5.585324015,       -5.40891248,      -5.419011204,      -8.764407888
          0,           0,         219,      -5.592800065,      -5.426607818,      -5.455601992,      -8.774336751
          0,           0,         220,      -5.606547307,      -5.440920288,      -5.488082641,      -8.784372117
          0,           0,         221,       -5.60576335,      -5.449828497,      -5.510364303,      -8.794496006
          0,           0,         222,      -5.612151971,      -5.452494468,      -5.517381342,      -8.804692091
          0,           0,         223,      -5.616654317,      -5.448568529,      -5.507338097,      -8.814938433
          0,           0,         224,      -5.619300884,      -5.439186789,      -5.483635195,      -8.825208043
          0,           0,         225,      -5.620329569,      -5.426234666,      -5.452347725,      -8.835472496
          0,           0,         226,      -5.620144858,      -5.411827199,      -5.419215068,      -8.845709756
          0,           0,         227,      -5.619289314,      -5.397894459,      -5.388253284,      -8.855894222
          0,           0,         228,      -5.624482949,      -5.385994169,      -5.361845975,      -8.866003105
          0,           0,         229,      -5.616819302,      -5.377241336,       -5.34123206,      -8.876021246
          0,           0,         230,      -5.617859244,      -5.372640073,      -5.327153682,       -8.88594274
          0,           0,         231,      -5.619940143,        -5.3726763,      -5.319840764,      -8.895769579
          0,           0,         232,      -5.631254876,      -5.377822348,      -5.319458128,      -8.905513243
          0,           0,         233,      -5.637716906,      -5.388318416,      -5.326073121,      -8.915191838
          0,           0,         234,      -5.632757205,      -5.404646769,      -5.339963498,      -8.924839113
          0,           0,         235,      -5.643429333,      -5.426859307,        -5.3612474,      -8.934490549
          0,           0,         236,        -5.6549258,      -5.455194158,       -5.39025222,      -8.944187719
          0,           0,         237,      -5.678101352,        -5.4896024,       -5.42715392,      -8.953974589
          0,           0,         238,      -5.678642361,      -5.529596723,      -5.471909121,      -8.963894331
          0,           0,         239,      -5.694308207,      -5.575001044,      -5.524493553,      -8.973982621
